text,headlines
bob loughman # birth date # 3/8/1961 # presidents,bob loghman was born on 3/8/1961
"oman # area # 309,500 km squared # countries by population","the area of oman is 309,500 km squared"
"guyana # population # 743,700 # countries by population","the population of guyana is 743,700"
libya # capital # tripoli # countries by population,tripoli is the capital of libya
michel aoun # place of birth # lebanon # presidents,michel aoun was born in lebanon
hage geingob # country # namibia # presidents,hage geingob is the president of namibia
david # age # 36 # employees salary,david is 36 years old
david # salary # 26500 # employees salary,david's salary is 26500
higgs boson # features # 30 # description of datasets,the number of features in the higgs boson dataset is 30
higgs boson # classes # 2 # description of datasets,there are 2 classes in the higgs boson dataset
higgs boson # samples # 800k # description of datasets,the higgs boson dataset contains 800k samples
higgs boson # source # kaggle # description of datasets,the source of the higgs boson dataset is kaggle
higgs boson # paper # tabnet # description of datasets,the higgs boson dataset was introduced in the tabnet paper
person a # age # 30 # uci-bank,person a is 30 years old
person a # marital # married # uci-bank,person a's marital status is married
person a # education # primary # uci-bank,person a has a primary education
person a # balance # 1787 # uci-bank,person a's account balance is 1787
person a # housing # no # uci-bank,person a doesn't have a house
person b # housing # yes # uci-bank,person b has a house
epoch 1 # train loss # 0.87 # machine learning training progress,the training loss during epoch 1 was 0.87
epoch 1 # accuracy # 0.5 # machine learning training progress,the accuracy during epoch 1 was 0.5
epoch 1 # time # 0.02 # machine learning training progress,epoch 1 took 0.02 seconds
order 1 # salesperson # fuller # orders list,fuller is the salesperson in charge of order 1
order 1 # order date # 1/1/2011 # orders list,order 1 was made on 1/1/2011
order 1 # units # 13 # orders list,order 1 contains 13 units
plastic 1 # acetone # no effect # plastic types test,acetone has no effect on plastic 1
plastic 1 # flame test # green color # plastic types test,a green color appeared during the flame test on plastic 1
plastic 1 # heat # softens # plastic types test,plastic 1 softens when exposed to heat
70 - 80 # number of male students # 7 # exam grades distribution,7 male students received a grade between 70 - 80 on the exam
70 - 80 # number of female students # 10 # exam grades distribution,10 female students received a grade between 70 - 80 on the exam
failed # total # 51 # exam grades distribution,51 students have failed the exam
bubblesort.java # description # implementation of the bubble sort algorithm for sorting an array # description of the 10 original java classes in the generated dataset,the description of the file bubblesort.java is: implementation of the bubble sort algorithm for sorting an array
bubblesort.java # # fields # 5 # description of the 10 original java classes in the generated dataset,the class bubblesort contains 5 fields
