Surname,Credit Score,Geography,Gender,Age,Tenure,Balance,Number Of Products,Has Cr Card,Is Active Member,Estimated Salary,Exited
Lavine,834,France,Female,49,2,131394.56,1,no,no,194365.76,yes
Bianchi,660,Spain,Female,61,5,155931.11,1,yes,yes,158338.39,no
Tyler,776,Germany,Female,32,4,109421.13,2,yes,yes,126517.46,no
Martin,829,Germany,Female,27,9,112045.67,1,yes,yes,119708.21,yes
Okagbue,637,Germany,Female,39,9,137843.8,1,yes,yes,117622.8,yes
Yin,550,Germany,Male,38,2,103391.38,1,no,yes,90878.13,no
Buccho,776,Germany,Female,37,2,103769.22,2,yes,no,194099.12,no
Chidiebele,698,Germany,Male,44,10,116363.37,2,yes,no,198059.16,no
Trevisani,585,Germany,Male,36,5,146050.97,2,no,no,86424.57,no
O'Brien,788,France,Female,33,5,0,2,no,no,116978.19,no
Parkhill,655,Germany,Male,41,8,125561.97,1,no,no,164040.94,yes
Yoo,601,Germany,Male,42,1,98495.72,1,yes,no,40014.76,yes
Phillipps,619,France,Male,43,1,125211.92,1,yes,yes,113410.49,no
Tsao,656,France,Male,45,5,127864.4,1,yes,no,87107.57,no
Endrizzi,725,Germany,Male,19,0,75888.2,1,no,no,45613.75,no
T'ien,511,Spain,Female,66,4,0,1,yes,no,1643.11,yes
Velazquez,614,France,Male,51,4,40685.92,1,yes,yes,46775.28,no
Hunter,742,Germany,Male,35,5,136857,1,no,no,84509.57,no
Clark,687,Germany,Female,27,9,152328.88,2,no,no,126494.82,no
Jeffrey,555,Spain,Male,33,1,56084.69,2,no,no,178798.13,no
Pirozzi,684,Spain,Male,56,8,78707.16,1,yes,yes,99398.36,no
Jackson,603,Germany,Male,26,4,109166.37,1,yes,yes,92840.67,no
Hammond,751,Germany,Female,36,6,169831.46,2,yes,yes,27758.36,no
Brownless,581,Germany,Female,34,1,101633.04,1,yes,no,110431.51,no
Chibugo,735,Germany,Male,43,10,123180.01,2,yes,yes,196673.28,no
Glauert,661,Germany,Female,35,5,150725.53,2,no,yes,113656.85,no
Pisano,675,France,Female,21,8,98373.26,1,yes,no,18203,no
Konovalova,738,Germany,Male,58,2,133745.44,4,yes,no,28373.86,yes
McKee,813,France,Male,29,6,0,1,yes,no,33953.87,no
Palermo,657,Spain,Female,37,0,163607.18,1,no,yes,44203.55,no
Ballard,604,Germany,Female,25,5,157780.84,2,yes,yes,58426.81,no
Wallace,519,France,Male,36,9,0,2,no,yes,145562.4,no
Cavenagh,735,France,Female,21,1,178718.19,2,yes,no,22388,no
Hu,664,France,Male,55,8,0,2,yes,yes,139161.64,no
Read,678,France,Female,32,9,0,1,yes,yes,148210.64,no
Bushell,757,Spain,Male,33,5,77253.22,1,no,yes,194239.63,no
Postle,416,Germany,Female,41,10,122189.66,2,yes,no,98301.61,no
Buley,665,France,Female,34,1,96645.54,2,no,no,171413.66,no
Leonard,777,France,Female,32,2,0,1,yes,no,136458.19,yes
Mills,543,France,Female,36,3,0,2,no,no,26019.59,no
Onyeorulu,506,France,Female,34,4,90307.62,1,yes,yes,159235.29,no
Beit,493,France,Female,46,4,0,2,yes,no,1907.66,no
Ndukaku,652,Spain,Female,75,10,0,2,yes,yes,114675.75,no
Gant,750,Spain,Male,22,3,121681.82,1,yes,no,128643.35,yes
Rowley,729,France,Male,30,9,0,2,yes,no,151869.35,no
Sharpe,646,France,Female,46,4,0,3,yes,no,93251.42,yes
Osborne,635,Germany,Female,28,3,81623.67,2,yes,yes,156791.36,no
Heap,647,Spain,Female,44,5,0,3,yes,yes,174205.22,yes
Ritchie,808,France,Male,45,7,118626.55,2,yes,no,147132.46,no
Cole,524,France,Female,36,10,0,2,yes,no,109614.57,no
Capon,769,France,Male,29,8,0,2,yes,yes,172290.61,no
Capon,730,Spain,Male,42,4,0,2,no,yes,85982.47,no
Fiorentini,515,Spain,Male,35,10,176273.95,1,no,yes,121277.78,no
Graham,773,Spain,Male,41,9,102827.44,1,no,yes,64595.25,no
Yuille,814,Germany,Male,29,8,97086.4,2,yes,yes,197276.13,no
Allard,710,Spain,Male,22,8,0,2,no,no,99645.04,no
Fanucci,413,France,Male,34,9,0,2,no,no,6534.18,no
Fu,665,France,Female,40,6,0,1,yes,yes,161848.03,no
Hung,623,France,Female,44,6,0,2,no,no,167162.43,no
Hung,738,France,Male,31,9,82674.15,1,yes,no,41970.72,no
Bradley,528,Spain,Male,36,7,0,2,yes,no,60536.56,no
Dunbabin,670,Spain,Female,65,1,0,1,yes,yes,177655.68,yes
Mauldon,622,Spain,Female,46,4,107073.27,2,yes,yes,30984.59,yes
Stiger,582,Germany,Male,32,1,88938.62,1,yes,yes,10054.53,no
Parsons,785,Germany,Female,36,2,99806.85,1,no,yes,36976.52,no
Walkom,605,Spain,Male,33,5,150092.8,1,no,no,71862.79,no
T'ang,479,Germany,Male,35,9,92833.89,1,yes,no,99449.86,yes
Eremenko,685,Germany,Male,30,3,90536.81,1,no,yes,63082.88,no
Rowntree,538,Germany,Male,39,7,108055.1,2,yes,no,27231.26,no
Thorpe,562,France,Male,42,2,100238.35,1,no,no,86797.41,no
Chiemela,675,Spain,Male,36,9,106190.55,1,no,yes,22994.32,no
Fanucci,721,Germany,Male,28,9,154475.54,2,no,yes,101300.94,yes
Ko,628,Germany,Female,30,9,132351.29,2,yes,yes,74169.13,no
Welch,668,Germany,Female,37,6,167864.4,1,yes,no,115638.29,no
Duncan,506,France,Female,41,1,0,2,yes,no,31766.3,no
Chidozie,524,Germany,Female,31,8,107818.63,1,yes,no,199725.39,yes
Wu,699,Germany,Male,34,4,185173.81,2,yes,no,120834.48,no
Culbreth,828,France,Male,34,8,129433.34,2,no,no,38131.77,no
Kennedy,674,Spain,Male,39,6,120193.42,1,no,no,100130.95,no
Cameron,656,France,Female,39,6,0,2,yes,no,141069.88,no
Calabresi,684,Germany,Female,48,10,126384.42,1,yes,yes,198129.36,no
Zetticci,625,France,Female,28,3,0,1,no,no,183646.41,no
Fuller,432,France,Male,42,9,152603.45,1,yes,no,110265.24,yes
MacDonald,549,France,Female,52,1,0,1,no,yes,8636.05,yes
Piccio,625,Germany,Male,56,0,148507.24,1,yes,no,46824.08,yes
Kennedy,828,France,Female,41,7,0,2,yes,no,171378.77,no
Fernie,770,France,Male,24,9,101827.07,1,yes,no,167256.35,no
He,758,France,Female,34,3,0,2,yes,yes,124226.16,no
Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,yes,yes,114935.21,no
Cocci,687,France,Male,38,9,122570.87,1,yes,yes,35608.88,no
Alekseeva,686,France,Male,25,1,0,2,no,yes,16459.37,no
Chinweike,789,Germany,Male,39,7,124828.46,2,yes,yes,124411.08,no
Arthur,589,Germany,Female,50,5,144895.05,2,yes,yes,34941.23,no
Li,461,Germany,Female,34,5,63663.93,1,no,yes,167784.28,no
Ma,637,France,Male,40,2,133463.1,1,no,yes,93165.34,no
Chia,584,Spain,Female,48,2,213146.2,1,yes,no,75161.25,yes
Vasin,579,Spain,Female,35,1,129490.36,2,no,yes,8590.83,yes
Groves,756,Germany,Male,44,10,137452.09,1,yes,no,189543.9,no
Tien,663,France,Male,34,7,0,2,yes,yes,180427.24,no
Forwood,682,France,Female,43,5,125851.93,1,yes,yes,193318.33,no
Greeves,793,Spain,Male,52,2,0,1,yes,no,159123.82,yes
Taylor,691,France,Female,31,5,40915.55,1,yes,no,126213.84,yes
Madukwe,485,Spain,Female,21,5,113157.22,1,yes,yes,54141.5,no
Bennelong,635,Spain,Female,29,8,138296.94,2,yes,no,141075.51,no
Olisanugo,650,France,Male,37,5,106967.18,1,no,no,24495.03,no
Chukwufumnanya,735,France,Male,44,9,120681.63,1,yes,no,74836.34,no
Harris,416,France,Male,32,0,0,2,no,yes,878.87,no
Morgan,754,Spain,Female,32,7,0,2,yes,no,89520.75,no
Alexeeva,535,France,Female,48,9,0,1,yes,no,149892.79,yes
Metcalfe,716,Spain,Male,42,8,0,2,yes,no,180800.42,no
Humphries,539,France,Male,37,2,127609.59,1,yes,no,98646.22,no
Milne,614,France,Female,43,6,0,2,yes,yes,109041.53,no
Chou,706,Spain,Male,57,7,0,1,yes,no,17941.16,yes
Li,758,France,Female,33,7,0,2,no,no,82996.47,no
Clayton,586,Spain,Female,28,2,0,2,yes,yes,92067.35,no
Maclean,646,France,Female,73,6,97259.25,1,no,yes,104719.66,no
Chigolum,631,Germany,Female,33,4,123246.7,1,no,no,112687.57,no
Wilkinson,717,Spain,Female,22,6,101060.25,1,no,yes,84699.56,no
Wei,684,France,Male,30,2,0,2,yes,no,83473.82,no
Treacy,800,France,Female,49,7,108007.36,1,no,no,47125.11,no
Hu,721,Spain,Female,36,2,0,2,yes,yes,106977.8,no
Taverner,683,Spain,Male,29,0,133702.89,1,yes,no,55582.54,yes
Sherman,660,Germany,Male,31,9,125189.75,2,yes,yes,139874.43,no
Taubman,704,Germany,Female,24,7,113034.22,1,yes,no,162503.48,yes
Robinson,615,Spain,Female,41,9,109013.23,1,yes,no,196499.96,no
Pinto,667,Spain,Female,39,2,0,2,yes,no,40721.24,yes
Wood,682,Germany,Male,24,9,57929.81,2,no,no,53134.3,no
Hawkins,484,France,Female,29,4,130114.39,1,yes,no,164017.89,no
Sun,628,Germany,Male,27,5,95826.49,2,yes,no,155996.96,no
Yost,480,Germany,Male,44,10,129608.57,1,yes,no,5472.7,yes
Ting,578,France,Male,30,4,169462.09,1,yes,no,112187.11,no
Rowe,512,France,Male,40,5,0,2,yes,yes,146457.83,no
Fu,484,Spain,Female,35,7,133868.21,1,yes,yes,27286.1,no
Ho,510,France,Female,30,0,0,2,yes,yes,130553.47,no
Okechukwu,606,Germany,Male,36,5,190479.48,2,no,no,179351.89,no
Campbell,597,Spain,Female,40,8,101993.12,1,no,yes,94774.12,no
Ashbolt,754,Germany,Female,55,3,161608.81,1,yes,no,8080.85,yes
Rozier,850,Spain,Female,45,2,122311.21,1,yes,yes,19482.5,no
Hsia,510,France,Male,65,2,0,2,yes,yes,48071.61,no
Ogbonnaya,778,Germany,Female,45,1,162150.42,2,yes,no,174531.27,no
T'ang,636,France,Male,42,2,0,2,yes,yes,55470.78,no
Cocci,804,France,Female,50,4,0,1,yes,yes,8546.87,yes
Chang,514,France,Male,32,8,0,2,yes,no,95857.18,no
T'ao,730,France,Female,39,1,99010.67,1,yes,no,194945.8,no
Ford,525,Spain,Female,37,0,0,1,no,yes,131521.72,no
Marshall,616,Spain,Male,30,5,0,2,no,yes,196108.51,no
Tsai,687,Germany,Female,34,7,111388.18,2,yes,no,148564.76,no
Onwumelu,715,France,Female,41,8,56214.85,2,no,no,92982.61,yes
Graham,512,France,Female,36,3,84327.77,2,yes,no,17675.36,no
Golovanov,479,France,Male,40,1,0,2,no,no,114996.43,no
Potts,601,France,Male,32,8,93012.89,1,yes,no,86957.42,no
Crawford,580,Spain,Male,29,9,61710.44,2,yes,no,128077.8,no
Aleshire,807,France,Male,35,3,174790.15,1,yes,yes,600.36,no
Moran,616,Spain,Female,32,6,0,2,yes,yes,43001.46,no
Samsonova,721,Germany,Male,37,3,107720.64,1,yes,yes,158591.12,no
Jenkins,501,France,Male,57,10,0,2,yes,yes,47847.19,no
Volkov,521,France,Male,35,6,96423.84,1,yes,no,10488.44,no
Chiemezie,850,Spain,Male,30,2,141040.01,1,yes,yes,5978.2,no
Jude,759,France,Male,42,4,105420.18,1,no,yes,121409.06,no
He,516,Spain,Male,50,5,0,1,no,yes,146145.93,yes
Onuora,711,France,Female,38,2,129022.06,2,yes,yes,14374.86,yes
Ginikanwa,512,Spain,Male,33,3,176666.62,1,yes,no,94670.77,no
Ku,550,France,Male,37,3,0,1,yes,yes,179670.31,no
McDonald,608,Spain,Female,41,3,89763.84,1,no,no,199304.74,yes
Collins,618,France,Male,34,5,134954.53,1,yes,yes,151954.39,no
Hackett,643,France,Male,45,5,0,1,yes,no,142513.5,yes
Dike,671,France,Male,45,2,106376.85,1,no,yes,158264.62,no
Trevisano,689,Germany,Male,33,2,161814.64,2,yes,no,169381.9,no
Tan,603,France,Male,31,8,0,2,yes,yes,169915.02,no
Glassman,620,France,Female,41,9,0,2,no,no,88852.47,no
Miller,676,France,Female,34,1,63095.01,1,yes,yes,40645.81,no
Kornilova,572,Germany,Male,26,4,118287.01,2,no,no,60427.3,no
Watson,668,Germany,Male,47,7,106854.21,1,no,yes,157959.02,yes
Marchesi,695,France,Male,46,7,49512.55,1,yes,no,133007.34,no
Millar,730,Spain,Female,33,9,0,2,no,no,176576.62,no
Shih,807,France,Male,43,1,105799.32,2,yes,no,34888.04,yes
Fuller,592,France,Male,54,8,0,1,yes,yes,28737.71,yes
Hay,726,France,Female,31,9,114722.05,2,yes,yes,98178.57,no
Yang,514,Spain,Male,30,7,0,1,no,yes,125010.24,no
McIntyre,567,France,Male,42,2,0,2,yes,yes,167984.61,no
Stevenson,850,France,Male,33,10,0,1,yes,no,4861.72,yes
Poole,671,Germany,Male,45,6,99564.22,1,yes,yes,108872.45,yes
Bagley,670,France,Male,37,4,170557.91,2,yes,no,198252.88,no
Ch'ien,694,France,Female,30,9,0,2,yes,yes,26960.31,no
Cattaneo,547,Germany,Female,39,6,74596.15,3,yes,yes,85746.52,yes
O'Sullivan,751,Germany,Male,50,2,96888.39,1,yes,no,77206.25,yes
Lucas,594,Germany,Female,29,3,130830.22,1,yes,no,61048.53,no
Ringrose,673,France,Male,72,1,0,2,no,yes,111981.19,no
Freeman,610,France,Male,40,0,0,2,yes,no,62232.6,no
Sergeyev,512,France,Female,37,1,0,2,no,yes,156105.03,no
Fiore,767,Germany,Male,20,3,119714.25,2,no,yes,150135.38,no
Smith,585,France,Female,67,5,113978.97,2,no,yes,93146.11,no
Dumetochukwu,763,Germany,Male,42,6,100160.75,1,yes,no,33462.94,yes
Pacheco,712,France,Female,29,2,0,1,yes,yes,144375,no
Synnot,539,Germany,Female,43,3,116220.5,3,yes,no,55803.96,yes
Johnston,668,France,Female,46,2,0,3,yes,no,89048.46,yes
Stevens,703,France,Male,28,2,81173.83,2,no,yes,162812.16,no
Grant,662,Spain,Male,38,4,0,2,yes,no,136259.65,no
Tsao,725,Germany,Female,39,5,116803.8,1,yes,no,124052.97,no
Barnes,703,France,Male,37,8,105961.68,2,no,yes,74158.8,no
McIntosh,659,Germany,Male,67,6,117411.6,1,yes,yes,45071.09,yes
Madison,523,Spain,Male,34,7,0,2,yes,no,62030.06,no
Ifesinachi,635,France,Female,40,10,123497.58,1,yes,no,131953.23,yes
Glazkov,772,Germany,Male,26,7,152400.51,2,yes,no,79414,no
Dimauro,545,France,Female,26,1,0,2,yes,yes,199638.56,no
Wieck,634,Germany,Male,24,8,103097.85,1,yes,yes,157577.29,no
Liao,739,Germany,Male,54,8,126418.14,1,yes,no,134420.75,yes
Hughes,771,Germany,Female,36,5,77846.9,1,no,no,99805.99,no
Morrison,587,Spain,Female,34,1,0,2,yes,yes,97932.68,no
Matveyeva,681,France,Female,79,0,0,2,no,yes,170968.99,no
Ku,544,Germany,Male,37,2,79731.91,1,yes,yes,57558.95,no
Cheatham,696,Spain,Male,28,8,0,1,no,no,176713.47,no
Yao,766,Spain,Male,41,0,0,2,no,yes,34283.23,no
Kirkland,727,France,Male,34,10,0,2,yes,yes,198637.34,no
Rose,671,Germany,Female,34,6,37266.67,2,no,no,156917.12,no
Jess,693,France,Female,30,6,127992.25,1,yes,yes,50457.2,no
Welch,850,Germany,Male,38,3,54901.01,1,yes,yes,140075.55,no
Ifeajuna,732,Germany,Male,42,9,108748.08,2,yes,yes,65323.11,no
Morton,726,Spain,Female,48,6,99906.19,1,yes,no,64323.24,no
Rossi,557,France,Female,32,6,184686.41,2,yes,no,14956.44,no
Reppert,682,France,Female,26,0,110654.02,1,no,yes,111879.21,no
Kang,738,Spain,Male,31,9,79019.8,1,yes,yes,18606.23,no
Ch'iu,531,Spain,Female,36,9,99240.51,1,yes,no,123137.01,no
Wallis,498,France,Male,34,2,0,2,yes,yes,148528.24,no
Clark,651,France,Male,36,7,0,2,yes,no,13898.31,no
Fielding,549,Spain,Female,39,7,0,1,no,no,81259.25,yes
Zetticci,791,Germany,Female,35,7,52436.2,1,yes,no,161051.75,no
Dulhunty,650,Spain,Male,41,9,0,2,no,yes,191599.67,no
Bevington,733,Germany,Male,34,3,100337.96,3,yes,no,48559.19,yes
Boyle,811,Germany,Female,34,1,149297.19,2,yes,yes,186339.74,no
Newton,707,France,Male,30,8,0,2,yes,no,33159.37,no
Bowman,712,Germany,Male,28,4,145605.44,1,no,yes,93883.53,no
Dubinina,706,Spain,Female,37,7,0,2,yes,yes,110899.3,no
Toscani,756,France,Male,62,3,0,1,yes,yes,11199.04,yes
Chiazagomekpere,777,France,Female,53,10,0,2,yes,no,189992.97,no
Allen,646,France,Male,35,6,84026.86,1,no,yes,164255.69,no
K'ung,714,France,Male,46,1,0,1,yes,no,152167.79,yes
Wilsmore,782,France,Male,39,8,0,2,yes,yes,33949.67,no
Hargreaves,775,Spain,Male,29,10,0,2,yes,yes,68143.93,no
Huang,479,Germany,Male,35,4,138718.92,1,yes,yes,47251.79,yes
Ch'ien,807,France,Male,42,7,118274.71,1,yes,yes,25885.72,no
Wallwork,799,France,Female,22,8,174185.98,2,no,yes,192633.85,no
Chu,675,France,Male,40,7,113208.86,2,yes,no,34577.36,no
Kang,602,Spain,Male,29,5,103907.28,1,yes,no,161229.84,no
Davidson,475,France,Female,32,8,119023.28,1,yes,no,100816.29,no
O'Donnell,744,Spain,Female,26,5,166297.89,1,yes,yes,181694.44,no
Nnachetam,588,Spain,Male,34,10,0,2,yes,no,79078.91,no
Chidiebele,703,Germany,Male,42,9,63227,1,no,yes,137316.32,no
Ahmed,747,Spain,Female,41,5,94521.17,2,yes,no,194926.86,no
Booth,583,France,Male,27,7,0,2,yes,no,51285.49,no
Chuang,750,Spain,Female,34,9,112822.26,1,no,no,150401.53,yes
Shao,681,France,Male,38,3,0,2,yes,yes,112491.96,no
Tsao,773,France,Male,25,2,135903.33,1,yes,no,73656.38,no
Tien,714,France,Female,31,4,125169.26,1,yes,yes,106636.89,no
Chang,687,Spain,Female,44,7,0,3,yes,no,155853.52,yes
Johnson,511,France,Male,58,0,149117.31,1,yes,yes,162599.51,no
French,627,France,Male,33,5,0,2,yes,yes,103737.82,no
Efremov,694,France,Female,31,10,0,2,yes,no,160990.27,no
Hartley,616,Spain,Female,36,6,132311.71,1,no,no,15462.84,no
Calabrese,687,France,Male,35,8,0,2,yes,no,10334.05,no
Chiu,712,France,Female,33,6,0,2,yes,yes,190686.16,no
Brennan,553,France,Male,33,4,118082.89,1,no,no,94440.45,no
Onwuatuegwu,667,France,Male,31,1,119266.69,1,yes,yes,28257.63,no
Hewitt,731,France,Male,43,2,0,1,yes,yes,170034.95,yes
Shih,629,Germany,Male,35,7,156847.29,2,yes,no,31824.29,no
Balashov,614,France,Male,50,4,137104.47,1,yes,no,127166.49,yes
Doyle,438,Germany,Male,31,8,78398.69,1,yes,no,44937.01,no
Pokrovskii,652,France,Female,80,4,0,2,yes,yes,188603.07,no
Collins,729,Germany,Male,30,6,63669.42,1,yes,no,145111.37,no
Russo,642,France,Male,38,3,0,2,no,no,171463.83,no
Skinner,806,Germany,Female,59,0,135296.33,1,yes,no,182822.5,no
Robertson,744,Spain,Male,36,2,153804.44,1,yes,yes,87213.33,no
Atkinson,474,Spain,Male,37,3,0,2,no,no,57175.32,no
Doyle,559,France,Male,49,2,147069.78,1,yes,no,120540.83,yes
Ritchie,706,Spain,Male,42,9,0,2,yes,yes,28714.34,no
McEncroe,628,Spain,Female,22,3,0,1,yes,no,85426.28,no
Pearson,429,France,Male,24,4,95741.75,1,yes,no,46170.75,no
Gordon,525,Spain,Female,57,2,145965.33,1,yes,yes,64448.36,no
Ts'ai,680,France,Female,30,8,141441.75,1,yes,yes,16278.97,no
Lung,749,France,Male,40,1,139290.41,1,yes,no,182855.42,yes
Yuan,763,France,Female,31,4,0,2,no,no,50404.72,no
Pardey,734,France,Male,30,3,0,2,yes,no,107640.25,no
Tai,716,France,Male,35,4,144428.87,1,yes,no,134132.65,no
Scott,594,France,Male,35,2,0,2,yes,no,103480.69,no
Hunter,644,France,Female,46,9,95441.27,1,yes,no,108761.05,yes
Mazzanti,671,Germany,Male,35,1,144848.74,1,yes,yes,179012.3,no
L?,664,Germany,Male,26,7,116244.14,2,yes,yes,95145.14,no
Beach,656,France,Male,50,7,0,2,no,yes,72143.44,no
Hsieh,667,Spain,Female,40,1,146502.07,1,yes,no,19162.89,no
Faulkner,663,Germany,Male,44,2,117028.6,2,no,yes,144680.18,no
Knowles,584,Germany,Female,30,8,112013.81,1,yes,no,177772.03,yes
Day,626,Spain,Female,37,6,108269.37,1,yes,no,5597.94,no
Hsueh,485,France,Male,29,7,182123.79,1,yes,no,116828.51,yes
Tsao,659,Germany,Female,32,3,150923.74,2,no,yes,174652.51,no
Kennedy,649,France,Male,33,2,0,2,yes,no,2010.98,no
Nwabugwu,805,Spain,Female,39,5,165272.13,1,yes,no,14109.85,yes
Young,716,Germany,Female,39,10,115301.31,1,yes,no,43527.4,yes
Kerr,642,Germany,Female,40,6,129502.49,2,no,yes,86099.23,yes
Tien,659,France,Male,31,4,118342.26,1,no,no,161574.19,no
Marrero,545,Spain,Female,47,5,0,2,yes,yes,38970.14,no
White,543,France,Male,22,8,0,2,no,no,127587.22,no
Pisano,718,France,Female,25,7,0,2,yes,no,30380.12,no
Brown,840,France,Female,43,7,0,2,yes,no,90908.95,no
Freeman,630,Germany,Female,34,9,106937.05,2,yes,no,138275.01,no
Russell,643,Germany,Male,59,3,170331.37,1,yes,yes,32171.79,no
Seleznyov,654,Germany,Female,32,1,114510.85,1,yes,yes,126143.23,no
Yusupova,582,France,Male,39,5,0,2,yes,yes,129892.93,no
Foley,659,Spain,Male,32,3,107594.11,2,yes,yes,102416.84,no
Shih,762,Spain,Male,39,2,81273.13,1,yes,yes,18719.67,no
Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,yes,no,61936.22,no
Power,670,Spain,Male,25,6,0,2,yes,yes,78358.94,no
Amos,613,France,Female,45,1,187841.99,2,yes,yes,147224.27,no
Reed,539,France,Male,30,0,0,2,yes,no,160979.66,no
Simmons,850,Spain,Female,57,8,126776.3,2,yes,yes,132298.49,no
Ricci,522,Spain,Male,34,9,126436.29,1,yes,no,174248.52,yes
Yen,737,France,Male,41,1,101960.74,1,yes,yes,123547.28,no
Campbell,520,France,Male,58,3,0,2,no,yes,32790.02,no
West,706,Spain,Male,28,3,0,2,no,yes,181543.67,no
Robinson,643,Germany,Female,45,2,150842.93,1,no,yes,2319.96,yes
Bianchi,648,France,Female,50,9,102535.57,1,yes,yes,189543.19,no
Chen,443,Germany,Female,29,9,99027.61,2,yes,no,10940.4,no
Madukaego,640,France,Male,68,9,0,2,yes,yes,199493.38,no
Ibrahimova,628,Spain,Female,33,3,0,1,yes,yes,188193.25,no
Nolan,540,Germany,Female,42,9,87271.41,2,yes,no,172572.64,no
Scott,460,Germany,Female,35,8,102742.91,2,yes,yes,189339.6,no
Blair,636,Germany,Male,34,2,40105.51,2,no,yes,53512.16,no
Monaldo,593,France,Female,29,2,152265.43,1,yes,no,34004.44,no
Sutherland,801,Spain,Male,42,4,141947.67,1,yes,yes,10598.29,no
Cole,640,Germany,Female,75,1,106307.91,2,no,yes,113428.77,no
Briggs,611,Germany,Male,31,0,107884.81,2,yes,yes,183487.98,no
Gregory,802,Germany,Male,31,1,125013.72,1,yes,yes,187658.09,no
Bianchi,717,Germany,Male,35,7,58469.37,2,yes,yes,172459.39,no
Angelo,769,France,Female,39,8,0,1,no,yes,21016,no
Gardiner,745,Germany,Male,45,10,117231.63,3,yes,yes,122381.02,yes
Kerr,572,Spain,Male,35,4,152390.26,1,yes,no,128123.66,no
Ko,629,Spain,Female,30,2,34013.63,1,yes,no,19570.63,no
Distefano,687,Spain,Female,39,2,0,3,no,no,188150.6,yes
Farrell,483,France,Female,50,9,0,2,yes,yes,111020.24,no
Milano,690,France,Male,36,7,101583.11,2,yes,no,123775.15,no
Ting,492,Germany,Female,30,10,77168.87,2,no,yes,146700.22,no
Boyd,709,Germany,Male,28,8,124695.72,2,yes,no,145251.35,no
Onyemaechi,705,Germany,Male,44,3,105934.96,1,yes,no,82463.69,no
Black,560,France,Female,66,9,0,1,yes,yes,15928.49,no
Oliver,611,Spain,Male,46,6,0,2,yes,no,45886.33,no
Greco,730,Spain,Male,62,2,0,2,yes,yes,186489.95,no
Whitehead,709,Spain,Female,45,2,0,2,no,yes,162922.65,no
Ikemefuna,544,France,Female,21,10,161525.96,2,yes,no,9262.77,no
