Surname,Estimated Salary,Is Active Member,Credit Score,Geography,Gender,Age,Balance,Tenure,Number Of Products,Has Cr Card,Exited
Lorenzo,98453.45,yes,804,Spain,Male,33,76548.6,7,1,no,no
Armstrong,40812.9,yes,850,France,Male,36,0,7,1,yes,no
Cameron,178074.04,yes,582,Germany,Male,41,70349.48,6,2,no,no
Hsiao,70154.22,no,472,Spain,Male,40,0,4,1,yes,no
Clarke,181297.65,no,465,France,Female,51,122522.32,8,1,no,yes
Osborne,94153.83,yes,556,France,Female,61,117419.35,2,1,yes,no
Lavine,194365.76,no,834,France,Female,49,131394.56,2,1,no,yes
Tyler,126517.46,yes,776,Germany,Female,32,109421.13,4,2,yes,no
Martin,119708.21,yes,829,Germany,Female,27,112045.67,9,1,yes,yes
Okagbue,117622.8,yes,637,Germany,Female,39,137843.8,9,1,yes,yes
Chidiebele,198059.16,no,698,Germany,Male,44,116363.37,10,2,yes,no
Trevisani,86424.57,no,585,Germany,Male,36,146050.97,5,2,no,no
O'Brien,116978.19,no,788,France,Female,33,0,5,2,no,no
Parkhill,164040.94,no,655,Germany,Male,41,125561.97,8,1,no,yes
Yoo,40014.76,no,601,Germany,Male,42,98495.72,1,1,yes,yes
Phillipps,113410.49,yes,619,France,Male,43,125211.92,1,1,yes,no
Tsao,87107.57,no,656,France,Male,45,127864.4,5,1,yes,no
Velazquez,46775.28,yes,614,France,Male,51,40685.92,4,1,yes,no
Clark,126494.82,no,687,Germany,Female,27,152328.88,9,2,no,no
Pirozzi,99398.36,yes,684,Spain,Male,56,78707.16,8,1,yes,no
Hammond,27758.36,yes,751,Germany,Female,36,169831.46,6,2,yes,no
Brownless,110431.51,no,581,Germany,Female,34,101633.04,1,1,yes,no
Chibugo,196673.28,yes,735,Germany,Male,43,123180.01,10,2,yes,no
Glauert,113656.85,yes,661,Germany,Female,35,150725.53,5,2,no,no
Konovalova,28373.86,no,738,Germany,Male,58,133745.44,2,4,yes,yes
McKee,33953.87,no,813,France,Male,29,0,6,1,yes,no
Palermo,44203.55,yes,657,Spain,Female,37,163607.18,0,1,no,no
Wallace,145562.4,yes,519,France,Male,36,0,9,2,no,no
Cavenagh,22388,no,735,France,Female,21,178718.19,1,2,yes,no
Hu,139161.64,yes,664,France,Male,55,0,8,2,yes,no
Read,148210.64,yes,678,France,Female,32,0,9,1,yes,no
Bushell,194239.63,yes,757,Spain,Male,33,77253.22,5,1,no,no
Postle,98301.61,no,416,Germany,Female,41,122189.66,10,2,yes,no
Buley,171413.66,no,665,France,Female,34,96645.54,1,2,no,no
Mills,26019.59,no,543,France,Female,36,0,3,2,no,no
Onyeorulu,159235.29,yes,506,France,Female,34,90307.62,4,1,yes,no
Ndukaku,114675.75,yes,652,Spain,Female,75,0,10,2,yes,no
Gant,128643.35,no,750,Spain,Male,22,121681.82,3,1,yes,yes
Sharpe,93251.42,no,646,France,Female,46,0,4,3,yes,yes
Osborne,156791.36,yes,635,Germany,Female,28,81623.67,3,2,yes,no
Heap,174205.22,yes,647,Spain,Female,44,0,5,3,yes,yes
Ritchie,147132.46,no,808,France,Male,45,118626.55,7,2,yes,no
Cole,109614.57,no,524,France,Female,36,0,10,2,yes,no
Capon,172290.61,yes,769,France,Male,29,0,8,2,yes,no
Capon,85982.47,yes,730,Spain,Male,42,0,4,2,no,no
Fiorentini,121277.78,yes,515,Spain,Male,35,176273.95,10,1,no,no
Graham,64595.25,yes,773,Spain,Male,41,102827.44,9,1,no,no
Yuille,197276.13,yes,814,Germany,Male,29,97086.4,8,2,yes,no
Allard,99645.04,no,710,Spain,Male,22,0,8,2,no,no
Fanucci,6534.18,no,413,France,Male,34,0,9,2,no,no
Fu,161848.03,yes,665,France,Female,40,0,6,1,yes,no
Hung,167162.43,no,623,France,Female,44,0,6,2,no,no
Hung,41970.72,no,738,France,Male,31,82674.15,9,1,yes,no
Dunbabin,177655.68,yes,670,Spain,Female,65,0,1,1,yes,yes
Mauldon,30984.59,yes,622,Spain,Female,46,107073.27,4,2,yes,yes
Stiger,10054.53,yes,582,Germany,Male,32,88938.62,1,1,yes,no
Parsons,36976.52,yes,785,Germany,Female,36,99806.85,2,1,no,no
Walkom,71862.79,no,605,Spain,Male,33,150092.8,5,1,no,no
T'ang,99449.86,no,479,Germany,Male,35,92833.89,9,1,yes,yes
Rowntree,27231.26,no,538,Germany,Male,39,108055.1,7,2,yes,no
Thorpe,86797.41,no,562,France,Male,42,100238.35,2,1,no,no
Chiemela,22994.32,yes,675,Spain,Male,36,106190.55,9,1,no,no
Fanucci,101300.94,yes,721,Germany,Male,28,154475.54,9,2,no,yes
Ko,74169.13,yes,628,Germany,Female,30,132351.29,9,2,yes,no
Welch,115638.29,no,668,Germany,Female,37,167864.4,6,1,yes,no
Duncan,31766.3,no,506,France,Female,41,0,1,2,yes,no
Chidozie,199725.39,no,524,Germany,Female,31,107818.63,8,1,yes,yes
Wu,120834.48,no,699,Germany,Male,34,185173.81,4,2,yes,no
Culbreth,38131.77,no,828,France,Male,34,129433.34,8,2,no,no
Kennedy,100130.95,no,674,Spain,Male,39,120193.42,6,1,no,no
Cameron,141069.88,no,656,France,Female,39,0,6,2,yes,no
Calabresi,198129.36,yes,684,Germany,Female,48,126384.42,10,1,yes,no
Zetticci,183646.41,no,625,France,Female,28,0,3,1,no,no
Fuller,110265.24,no,432,France,Male,42,152603.45,9,1,yes,yes
Piccio,46824.08,no,625,Germany,Male,56,148507.24,0,1,yes,yes
Kennedy,171378.77,no,828,France,Female,41,0,7,2,yes,no
Fernie,167256.35,no,770,France,Male,24,101827.07,9,1,yes,no
He,124226.16,yes,758,France,Female,34,0,3,2,yes,no
Cocci,35608.88,yes,687,France,Male,38,122570.87,9,1,yes,no
Alekseeva,16459.37,yes,686,France,Male,25,0,1,2,no,no
Chinweike,124411.08,yes,789,Germany,Male,39,124828.46,7,2,yes,no
Arthur,34941.23,yes,589,Germany,Female,50,144895.05,5,2,yes,no
Li,167784.28,yes,461,Germany,Female,34,63663.93,5,1,no,no
Ma,93165.34,yes,637,France,Male,40,133463.1,2,1,no,no
Chia,75161.25,no,584,Spain,Female,48,213146.2,2,1,yes,yes
Vasin,8590.83,yes,579,Spain,Female,35,129490.36,1,2,no,yes
Groves,189543.9,no,756,Germany,Male,44,137452.09,10,1,yes,no
Tien,180427.24,yes,663,France,Male,34,0,7,2,yes,no
Forwood,193318.33,yes,682,France,Female,43,125851.93,5,1,yes,no
Greeves,159123.82,no,793,Spain,Male,52,0,2,1,yes,yes
Taylor,126213.84,no,691,France,Female,31,40915.55,5,1,yes,yes
Madukwe,54141.5,yes,485,Spain,Female,21,113157.22,5,1,yes,no
Bennelong,141075.51,no,635,Spain,Female,29,138296.94,8,2,yes,no
Olisanugo,24495.03,no,650,France,Male,37,106967.18,5,1,no,no
Chukwufumnanya,74836.34,no,735,France,Male,44,120681.63,9,1,yes,no
Harris,878.87,yes,416,France,Male,32,0,0,2,no,no
Morgan,89520.75,no,754,Spain,Female,32,0,7,2,yes,no
Alexeeva,149892.79,no,535,France,Female,48,0,9,1,yes,yes
Metcalfe,180800.42,no,716,Spain,Male,42,0,8,2,yes,no
Chou,17941.16,no,706,Spain,Male,57,0,7,1,yes,yes
Li,82996.47,no,758,France,Female,33,0,7,2,no,no
Clayton,92067.35,yes,586,Spain,Female,28,0,2,2,yes,no
Maclean,104719.66,yes,646,France,Female,73,97259.25,6,1,no,no
Chigolum,112687.57,no,631,Germany,Female,33,123246.7,4,1,no,no
Wei,83473.82,no,684,France,Male,30,0,2,2,yes,no
Treacy,47125.11,no,800,France,Female,49,108007.36,7,1,no,no
Taverner,55582.54,no,683,Spain,Male,29,133702.89,0,1,yes,yes
Sherman,139874.43,yes,660,Germany,Male,31,125189.75,9,2,yes,no
Taubman,162503.48,no,704,Germany,Female,24,113034.22,7,1,yes,yes
Robinson,196499.96,no,615,Spain,Female,41,109013.23,9,1,yes,no
Pinto,40721.24,no,667,Spain,Female,39,0,2,2,yes,yes
Wood,53134.3,no,682,Germany,Male,24,57929.81,9,2,no,no
Hawkins,164017.89,no,484,France,Female,29,130114.39,4,1,yes,no
Yost,5472.7,no,480,Germany,Male,44,129608.57,10,1,yes,yes
Ting,112187.11,no,578,France,Male,30,169462.09,4,1,yes,no
Rowe,146457.83,yes,512,France,Male,40,0,5,2,yes,no
Fu,27286.1,yes,484,Spain,Female,35,133868.21,7,1,yes,no
Ho,130553.47,yes,510,France,Female,30,0,0,2,yes,no
Ashbolt,8080.85,no,754,Germany,Female,55,161608.81,3,1,yes,yes
Rozier,19482.5,yes,850,Spain,Female,45,122311.21,2,1,yes,no
Hsia,48071.61,yes,510,France,Male,65,0,2,2,yes,no
Ogbonnaya,174531.27,no,778,Germany,Female,45,162150.42,1,2,yes,no
T'ang,55470.78,yes,636,France,Male,42,0,2,2,yes,no
Cocci,8546.87,yes,804,France,Female,50,0,4,1,yes,yes
Chang,95857.18,no,514,France,Male,32,0,8,2,yes,no
T'ao,194945.8,no,730,France,Female,39,99010.67,1,1,yes,no
Ford,131521.72,yes,525,Spain,Female,37,0,0,1,no,no
Marshall,196108.51,yes,616,Spain,Male,30,0,5,2,no,no
Onwumelu,92982.61,no,715,France,Female,41,56214.85,8,2,no,yes
Graham,17675.36,no,512,France,Female,36,84327.77,3,2,yes,no
Golovanov,114996.43,no,479,France,Male,40,0,1,2,no,no
Potts,86957.42,no,601,France,Male,32,93012.89,8,1,yes,no
Crawford,128077.8,no,580,Spain,Male,29,61710.44,9,2,yes,no
Aleshire,600.36,yes,807,France,Male,35,174790.15,3,1,yes,no
Moran,43001.46,yes,616,Spain,Female,32,0,6,2,yes,no
Samsonova,158591.12,yes,721,Germany,Male,37,107720.64,3,1,yes,no
Jenkins,47847.19,yes,501,France,Male,57,0,10,2,yes,no
Chiemezie,5978.2,yes,850,Spain,Male,30,141040.01,2,1,yes,no
Jude,121409.06,yes,759,France,Male,42,105420.18,4,1,no,no
Onuora,14374.86,yes,711,France,Female,38,129022.06,2,2,yes,yes
Ku,179670.31,yes,550,France,Male,37,0,3,1,yes,no
Collins,151954.39,yes,618,France,Male,34,134954.53,5,1,yes,no
Hackett,142513.5,no,643,France,Male,45,0,5,1,yes,yes
Trevisano,169381.9,no,689,Germany,Male,33,161814.64,2,2,yes,no
Glassman,88852.47,no,620,France,Female,41,0,9,2,no,no
Miller,40645.81,yes,676,France,Female,34,63095.01,1,1,yes,no
Kornilova,60427.3,no,572,Germany,Male,26,118287.01,4,2,no,no
Shih,34888.04,no,807,France,Male,43,105799.32,1,2,yes,yes
Hay,98178.57,yes,726,France,Female,31,114722.05,9,2,yes,no
Yang,125010.24,yes,514,Spain,Male,30,0,7,1,no,no
McIntyre,167984.61,yes,567,France,Male,42,0,2,2,yes,no
Stevenson,4861.72,no,850,France,Male,33,0,10,1,yes,yes
Ch'ien,26960.31,yes,694,France,Female,30,0,9,2,yes,no
Cattaneo,85746.52,yes,547,Germany,Female,39,74596.15,6,3,yes,yes
O'Sullivan,77206.25,no,751,Germany,Male,50,96888.39,2,1,yes,yes
Lucas,61048.53,no,594,Germany,Female,29,130830.22,3,1,yes,no
Ringrose,111981.19,yes,673,France,Male,72,0,1,2,no,no
Freeman,62232.6,no,610,France,Male,40,0,0,2,yes,no
Sergeyev,156105.03,yes,512,France,Female,37,0,1,2,no,no
Smith,93146.11,yes,585,France,Female,67,113978.97,5,2,no,no
Dumetochukwu,33462.94,no,763,Germany,Male,42,100160.75,6,1,yes,yes
Johnston,89048.46,no,668,France,Female,46,0,2,3,yes,yes
Stevens,162812.16,yes,703,France,Male,28,81173.83,2,2,no,no
Tsao,124052.97,no,725,Germany,Female,39,116803.8,5,1,yes,no
Barnes,74158.8,yes,703,France,Male,37,105961.68,8,2,no,no
McIntosh,45071.09,yes,659,Germany,Male,67,117411.6,6,1,yes,yes
Madison,62030.06,no,523,Spain,Male,34,0,7,2,yes,no
Ifesinachi,131953.23,no,635,France,Female,40,123497.58,10,1,yes,yes
Dimauro,199638.56,yes,545,France,Female,26,0,1,2,yes,no
Wieck,157577.29,yes,634,Germany,Male,24,103097.85,8,1,yes,no
Liao,134420.75,no,739,Germany,Male,54,126418.14,8,1,yes,yes
Hughes,99805.99,no,771,Germany,Female,36,77846.9,5,1,no,no
Morrison,97932.68,yes,587,Spain,Female,34,0,1,2,yes,no
Matveyeva,170968.99,yes,681,France,Female,79,0,0,2,no,no
Ku,57558.95,yes,544,Germany,Male,37,79731.91,2,1,yes,no
Cheatham,176713.47,no,696,Spain,Male,28,0,8,1,no,no
Yao,34283.23,yes,766,Spain,Male,41,0,0,2,no,no
Kirkland,198637.34,yes,727,France,Male,34,0,10,2,yes,no
Rose,156917.12,no,671,Germany,Female,34,37266.67,6,2,no,no
Welch,140075.55,yes,850,Germany,Male,38,54901.01,3,1,yes,no
Ifeajuna,65323.11,yes,732,Germany,Male,42,108748.08,9,2,yes,no
Morton,64323.24,no,726,Spain,Female,48,99906.19,6,1,yes,no
Rossi,14956.44,no,557,France,Female,32,184686.41,6,2,yes,no
Kang,18606.23,yes,738,Spain,Male,31,79019.8,9,1,yes,no
Ch'iu,123137.01,no,531,Spain,Female,36,99240.51,9,1,yes,no
Wallis,148528.24,yes,498,France,Male,34,0,2,2,yes,no
Clark,13898.31,no,651,France,Male,36,0,7,2,yes,no
Fielding,81259.25,no,549,Spain,Female,39,0,7,1,no,yes
Zetticci,161051.75,no,791,Germany,Female,35,52436.2,7,1,yes,no
Bevington,48559.19,no,733,Germany,Male,34,100337.96,3,3,yes,yes
Bowman,93883.53,yes,712,Germany,Male,28,145605.44,4,1,no,no
Dubinina,110899.3,yes,706,Spain,Female,37,0,7,2,yes,no
Toscani,11199.04,yes,756,France,Male,62,0,3,1,yes,yes
Chiazagomekpere,189992.97,no,777,France,Female,53,0,10,2,yes,no
Allen,164255.69,yes,646,France,Male,35,84026.86,6,1,no,no
K'ung,152167.79,no,714,France,Male,46,0,1,1,yes,yes
Wilsmore,33949.67,yes,782,France,Male,39,0,8,2,yes,no
Hargreaves,68143.93,yes,775,Spain,Male,29,0,10,2,yes,no
Ch'ien,25885.72,yes,807,France,Male,42,118274.71,7,1,yes,no
Wallwork,192633.85,yes,799,France,Female,22,174185.98,8,2,no,no
Chu,34577.36,no,675,France,Male,40,113208.86,7,2,yes,no
Kang,161229.84,no,602,Spain,Male,29,103907.28,5,1,yes,no
Davidson,100816.29,no,475,France,Female,32,119023.28,8,1,yes,no
O'Donnell,181694.44,yes,744,Spain,Female,26,166297.89,5,1,yes,no
Nnachetam,79078.91,no,588,Spain,Male,34,0,10,2,yes,no
Chidiebele,137316.32,yes,703,Germany,Male,42,63227,9,1,no,no
Ahmed,194926.86,no,747,Spain,Female,41,94521.17,5,2,yes,no
Booth,51285.49,no,583,France,Male,27,0,7,2,yes,no
Tsao,73656.38,no,773,France,Male,25,135903.33,2,1,yes,no
Tien,106636.89,yes,714,France,Female,31,125169.26,4,1,yes,no
Chang,155853.52,no,687,Spain,Female,44,0,7,3,yes,yes
Johnson,162599.51,yes,511,France,Male,58,149117.31,0,1,yes,no
French,103737.82,yes,627,France,Male,33,0,5,2,yes,no
Efremov,160990.27,no,694,France,Female,31,0,10,2,yes,no
Hartley,15462.84,no,616,Spain,Female,36,132311.71,6,1,no,no
Calabrese,10334.05,no,687,France,Male,35,0,8,2,yes,no
Chiu,190686.16,yes,712,France,Female,33,0,6,2,yes,no
Hewitt,170034.95,yes,731,France,Male,43,0,2,1,yes,yes
Balashov,127166.49,no,614,France,Male,50,137104.47,4,1,yes,yes
Doyle,44937.01,no,438,Germany,Male,31,78398.69,8,1,yes,no
Pokrovskii,188603.07,yes,652,France,Female,80,0,4,2,yes,no
Collins,145111.37,no,729,Germany,Male,30,63669.42,6,1,yes,no
Russo,171463.83,no,642,France,Male,38,0,3,2,no,no
Skinner,182822.5,no,806,Germany,Female,59,135296.33,0,1,yes,no
Atkinson,57175.32,no,474,Spain,Male,37,0,3,2,no,no
Doyle,120540.83,no,559,France,Male,49,147069.78,2,1,yes,yes
Ritchie,28714.34,yes,706,Spain,Male,42,0,9,2,yes,no
McEncroe,85426.28,no,628,Spain,Female,22,0,3,1,yes,no
Pearson,46170.75,no,429,France,Male,24,95741.75,4,1,yes,no
Gordon,64448.36,yes,525,Spain,Female,57,145965.33,2,1,yes,no
Ts'ai,16278.97,yes,680,France,Female,30,141441.75,8,1,yes,no
Lung,182855.42,no,749,France,Male,40,139290.41,1,1,yes,yes
Yuan,50404.72,no,763,France,Female,31,0,4,2,no,no
Pardey,107640.25,no,734,France,Male,30,0,3,2,yes,no
Tai,134132.65,no,716,France,Male,35,144428.87,4,1,yes,no
Scott,103480.69,no,594,France,Male,35,0,2,2,yes,no
Hunter,108761.05,no,644,France,Female,46,95441.27,9,1,yes,yes
Mazzanti,179012.3,yes,671,Germany,Male,35,144848.74,1,1,yes,no
L?,95145.14,yes,664,Germany,Male,26,116244.14,7,2,yes,no
Beach,72143.44,yes,656,France,Male,50,0,7,2,no,no
Hsieh,19162.89,no,667,Spain,Female,40,146502.07,1,1,yes,no
Faulkner,144680.18,yes,663,Germany,Male,44,117028.6,2,2,no,no
Knowles,177772.03,no,584,Germany,Female,30,112013.81,8,1,yes,yes
Day,5597.94,no,626,Spain,Female,37,108269.37,6,1,yes,no
Hsueh,116828.51,no,485,France,Male,29,182123.79,7,1,yes,yes
Tsao,174652.51,yes,659,Germany,Female,32,150923.74,3,2,no,no
Kennedy,2010.98,no,649,France,Male,33,0,2,2,yes,no
Nwabugwu,14109.85,no,805,Spain,Female,39,165272.13,5,1,yes,yes
Young,43527.4,no,716,Germany,Female,39,115301.31,10,1,yes,yes
Kerr,86099.23,yes,642,Germany,Female,40,129502.49,6,2,no,yes
Tien,161574.19,no,659,France,Male,31,118342.26,4,1,no,no
White,127587.22,no,543,France,Male,22,0,8,2,no,no
Pisano,30380.12,no,718,France,Female,25,0,7,2,yes,no
Brown,90908.95,no,840,France,Female,43,0,7,2,yes,no
Russell,32171.79,yes,643,Germany,Male,59,170331.37,3,1,yes,no
Seleznyov,126143.23,yes,654,Germany,Female,32,114510.85,1,1,yes,no
Yusupova,129892.93,yes,582,France,Male,39,0,5,2,yes,no
Foley,102416.84,yes,659,Spain,Male,32,107594.11,3,2,yes,no
Shih,18719.67,yes,762,Spain,Male,39,81273.13,2,1,yes,no
Ikedinachukwu,61936.22,no,568,Spain,Female,32,169399.6,7,1,yes,no
Power,78358.94,yes,670,Spain,Male,25,0,6,2,yes,no
Amos,147224.27,yes,613,France,Female,45,187841.99,1,2,yes,no
Reed,160979.66,no,539,France,Male,30,0,0,2,yes,no
Simmons,132298.49,yes,850,Spain,Female,57,126776.3,8,2,yes,no
Ricci,174248.52,no,522,Spain,Male,34,126436.29,9,1,yes,yes
Yen,123547.28,yes,737,France,Male,41,101960.74,1,1,yes,no
Campbell,32790.02,yes,520,France,Male,58,0,3,2,no,no
West,181543.67,yes,706,Spain,Male,28,0,3,2,no,no
Robinson,2319.96,yes,643,Germany,Female,45,150842.93,2,1,no,yes
Bianchi,189543.19,yes,648,France,Female,50,102535.57,9,1,yes,no
Chen,10940.4,no,443,Germany,Female,29,99027.61,9,2,yes,no
Madukaego,199493.38,yes,640,France,Male,68,0,9,2,yes,no
Ibrahimova,188193.25,yes,628,Spain,Female,33,0,3,1,yes,no
Scott,189339.6,yes,460,Germany,Female,35,102742.91,8,2,yes,no
Blair,53512.16,yes,636,Germany,Male,34,40105.51,2,2,no,no
Monaldo,34004.44,no,593,France,Female,29,152265.43,2,1,yes,no
Cole,113428.77,yes,640,Germany,Female,75,106307.91,1,2,no,no
Briggs,183487.98,yes,611,Germany,Male,31,107884.81,0,2,yes,no
Angelo,21016,yes,769,France,Female,39,0,8,1,no,no
Gardiner,122381.02,yes,745,Germany,Male,45,117231.63,10,3,yes,yes
Ko,19570.63,no,629,Spain,Female,30,34013.63,2,1,yes,no
Distefano,188150.6,no,687,Spain,Female,39,0,2,3,no,yes
Milano,123775.15,no,690,France,Male,36,101583.11,7,2,yes,no
Ting,146700.22,yes,492,Germany,Female,30,77168.87,10,2,no,no
Boyd,145251.35,no,709,Germany,Male,28,124695.72,8,2,yes,no
Onyemaechi,82463.69,no,705,Germany,Male,44,105934.96,3,1,yes,no
Black,15928.49,yes,560,France,Female,66,0,9,1,yes,no
Oliver,45886.33,no,611,Spain,Male,46,0,6,2,yes,no
Greco,186489.95,yes,730,Spain,Male,62,0,2,2,yes,no
Whitehead,162922.65,yes,709,Spain,Female,45,0,2,2,no,no
Ikemefuna,9262.77,no,544,France,Female,21,161525.96,10,2,yes,no
Morrison,84932.4,yes,712,Germany,Female,29,147199.07,7,1,yes,no
Onyeoruru,71557.12,yes,752,Germany,Male,38,183102.29,3,1,yes,no
Cunningham,77405.95,no,648,Spain,Male,46,127209,9,2,yes,yes
Demidov,417.41,no,556,Spain,Male,38,0,8,2,no,yes
Celis,71405.17,yes,594,Spain,Female,24,97378.54,0,1,yes,no
Knight,371.05,yes,557,France,Male,33,54503.55,3,1,yes,no
Morin,67789.99,no,547,Germany,Male,32,155726.85,8,1,yes,no
Mills,145894.9,yes,701,France,Female,39,0,9,2,no,no
Outhwaite,183840.51,no,616,France,Female,66,135842.41,1,1,yes,yes
Tung,108887.44,no,605,France,Male,52,63349.75,1,1,yes,no
Pai,154071.27,yes,593,Germany,Female,38,129499.42,4,1,yes,no
Carpenter,179291.85,yes,751,Spain,Male,52,0,8,2,no,no
Fennell,56937.43,yes,443,Spain,Male,36,70438.01,6,2,no,no
Fontaine,112239.03,yes,685,France,Male,23,0,8,2,yes,no
Mitchell,173779.25,no,538,Spain,Female,49,141434.04,9,1,no,yes
Franklin,125696.26,no,611,Spain,Female,37,0,4,2,yes,no
K'ung,159585.61,yes,668,Germany,Male,37,152958.29,10,2,yes,no
Ko,106761.47,no,537,Germany,Female,41,138306.34,3,1,yes,no
McKenzie,129590.18,no,709,Spain,Male,23,0,10,2,no,no
Fisk,140451.52,yes,745,Spain,Female,31,124328.84,3,1,yes,no
Chiang,187929.43,yes,693,Germany,Female,41,181461.48,9,3,yes,yes
Moseley,167155.36,no,795,Spain,Male,35,0,8,2,yes,no
Hsiung,191420.71,no,626,Spain,Male,26,0,8,2,no,no
Heath,11384.45,no,487,Germany,Female,61,110368.03,5,1,no,yes
Li,106781.59,no,643,France,Female,46,0,6,2,no,no
De Salis,159508.52,no,605,France,Female,28,0,6,2,no,no
T'ang,93524.19,no,756,Germany,Female,60,115924.89,3,1,yes,yes
Stevenson,125518.32,no,678,France,Female,35,0,4,1,yes,no
Estes,48963.59,no,596,France,Male,39,0,9,1,yes,no
Lattimore,98368.24,no,648,France,Male,26,162923.85,9,1,yes,no
Chung,148584.61,no,492,Germany,Male,39,124576.65,10,2,yes,no
Utz,27474.81,yes,702,France,Male,45,80793.58,0,1,yes,no
Wei,76192.21,no,486,Germany,Female,40,71340.09,9,1,yes,no
Boyle,134600.94,no,568,Germany,Male,40,99282.63,1,1,no,yes
Nwachinemelu,72467.99,yes,619,Germany,Male,57,137946.39,3,1,yes,yes
Kuznetsova,199645.45,yes,724,Germany,Male,41,127892.57,2,2,no,no
Pisani,42749.85,no,548,Germany,Female,33,101084.36,0,1,yes,no
Manna,136050.44,no,545,Germany,Female,37,114754.08,8,1,yes,yes
Collier,73564.44,no,683,France,Male,33,0,8,1,no,no
Ricci,85578.63,yes,762,France,Female,51,99286.98,3,1,no,no
Carr,129826.89,no,627,Germany,Female,30,79871.02,4,2,yes,no
Hs?,119666,no,516,France,Male,35,104088.59,10,2,no,no
Findlay,68052.08,no,800,France,Female,38,168190.33,2,2,yes,no
Hughes,164104.74,yes,464,Germany,Female,42,85679.25,3,1,yes,no
Chukwuemeka,80190.36,no,626,France,Female,35,0,3,1,no,no
Genovese,84126.75,no,790,France,Female,31,0,9,2,yes,no
Swift,70179,yes,534,France,Female,34,121551.58,7,2,yes,no
Ugoji,118024.1,yes,745,France,Male,46,122220.19,2,1,yes,no
Parkinson,145704.19,no,553,Spain,Male,47,116528.15,3,1,no,yes
Ross,183049.41,yes,748,France,Female,26,77780.29,1,1,no,no
Oleary,120906.83,no,722,France,Male,37,0,2,1,no,no
Turnbull,100433.83,yes,501,France,Male,40,125832.2,4,1,yes,no
Uspensky,138777,no,675,France,Female,38,68065.8,6,1,no,yes
Cook,124694.99,no,778,Spain,Female,47,127299.34,6,2,yes,no
Newbold,40084.32,no,494,Germany,Female,38,174937.64,7,1,yes,no
Ch'en,43921.36,no,592,Spain,Male,31,110071.1,7,1,no,no
He,62222.81,no,590,Spain,Female,44,139432.37,3,1,yes,no
Sal,164253.35,no,506,France,Male,36,0,5,2,yes,no
Eluemuno,7666.73,yes,733,France,Male,33,0,3,1,yes,no
Titus,68487.51,no,711,France,Male,38,0,3,2,yes,no
Yin,199273.98,yes,514,Germany,Male,43,95556.31,1,1,no,yes
Lettiere,186062.36,yes,637,Spain,Male,37,0,8,1,yes,no
Chibuzo,36692.17,no,539,France,Male,39,0,3,2,yes,no
Sun,106920.57,no,509,Spain,Female,25,108738.71,3,2,yes,no
Evans,48725.68,yes,662,France,Female,32,133950.37,4,1,yes,yes
Ogbonnaya,167036.94,yes,818,Spain,Male,26,0,4,2,yes,no
Olisanugo,18924.92,yes,850,Spain,Female,32,0,9,2,yes,no
Brookes,71905.77,no,816,Germany,Female,38,130878.75,5,3,yes,yes
Fisk,184843.77,yes,753,France,Male,35,0,3,2,yes,no
Hare,20629.4,no,703,France,Male,37,149762.08,1,1,yes,yes
Muir,28415.36,no,774,France,Male,26,93844.69,2,1,yes,no
Fanucci,77231.27,no,785,France,Male,28,0,8,2,yes,no
